ID,Timestamp,Με τι είδος development ασχολείσαι επαγγελματικά αυτή την περίοδο;,Με ποιες γλώσσες προγραμματισμού δουλεύεις επαγγελματικά αυτή την περίοδο;,Πόσα χρόνια δουλεύεις επαγγελματικά ως προγραμματιστής;,Έχεις προσωπικά projects ή κάνεις freelancing πέρα από την κύρια εργασία σου;,Φύλλο;,Ποιος είναι ο τρόπος εργασίας;,Σε ποια πόλη μένεις;,Σε ποια πόλη δουλεύεις;,Τι μέγεθος είναι η εταιρεία που δουλεύεις;,Έχεις άτομα υπό την επίβλεψη σου;,Ποιό είναι το επίπεδο σπουδών σου;,"Ποιος είναι ο τίτλος του πτυχίου σου; (Αν έχεις παραπάνω από ένα, συμπλήρωσε τα)",Ποιος είναι ο ΕΤΗΣΙΟΣ ΚΑΘΑΡΟΣ μισθός σου σε €;,[Fixed] Ποιος είναι ο ΕΤΗΣΙΟΣ ΚΑΘΑΡΟΣ μισθός σου σε €;,[GROUP] Πόσα χρόνια δουλεύεις επαγγελματικά ως προγραμματιστής;,"[GROUP] Σε ποια πόλη δουλεύεις, Greece ή Abroad","[GROUP] Σε ποια πόλη δουλεύεις, Αττική ή Υπόλοιπη Ελλάδα",[NORMALIZED] Με ποιες γλώσσες προγραμματισμού δουλεύεις επαγγελματικά αυτή την περίοδο;,[GROUP] Το πτυχίο σου είYes σχετικό με τον τομέα της πληροφορική;,[NORMALIZED] Με τι είδος development ασχολείσαι επαγγελματικά αυτή την περίοδο;,[NORMALIZED] Με ποιες γλώσσες προγραμματισμού δουλεύεις επαγγελματικά αυτή την περίοδο;
1,1/17/2023 13:41:44,QA,C#,3,Όχι,Γυναίκα,Και τα δύο,Ηράκλειο,,11 - 50,Όχι,Bachelor's,Bachelor in Computer Science,12,12000,3,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,QA Engineer / QA Automation Engineer,C#
2,1/18/2023 12:05:07,Frontend,"C#, JavaScript",1,Όχι,Άντρας,Στον χώρο του εργοδότη,Χανιά,Χανιά,1 - 10,Όχι,ΙΕΚ,Web/Game Developer,614,8596,1,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,Frontend,"C#, JavaScript"
3,1/18/2023 12:06:49,"Backend, Frontend","C#, JavaScript",3,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Master,mhxanikosplhroforikhs kai thlepikoinwniwn,14000,14000,3,Ελλάδα,Αττική,,Ναι,"Backend, Frontend","C#, JavaScript"
4,1/18/2023 12:07:03,Frontend,Angular,10,Όχι,Γυναίκα,Απομακρυσμένα,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,Πληροφορική,13200,13200,10+,Ελλάδα,Αττική,,Ναι,Frontend,TypeScript
5,1/18/2023 12:11:53,"Backend, Frontend","JavaScript, PHP",3,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,1 - 10,Όχι,ΙΕΚ,Τεχνικός Η/Υ και Δικτύων ΤΕΕ και ΙΕΚ,21420,21420,3,Ελλάδα,Αττική,,Ναι,"Backend, Frontend","JavaScript, PHP"
6,1/18/2023 12:15:52,Frontend,JavaScript,2,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,51 - 100,Όχι,Λύκειο,,21000,21000,2,Ελλάδα,Αττική,,Όχι,Frontend,JavaScript
7,1/18/2023 12:17:25,"Backend, Frontend","JavaScript, PHP",8,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,Zurich,51 - 100,Όχι,Master,Διπλωματούχος Ηλεκτρολόγος Μηχανικός και Τεχνολογίας Υπολογιστών,30000,30000,8,Εξωτερικό,-,,Ναι,"Backend, Frontend","JavaScript, PHP"
8,1/18/2023 12:21:00,"Backend, Frontend","Java, JavaScript",9,Όχι,Άντρας,Απομακρυσμένα,Θεσσαλονίκη,Ludwigshafen,11 - 50,Ναι,Bachelor's,Μηχανικός Πληροφορικής,54600,54600,9,Εξωτερικό,-,,Ναι,"Backend, Frontend","Java, JavaScript"
9,1/18/2023 12:22:40,Frontend,JavaScript,1,Όχι,Άντρας,Απομακρυσμένα,Ηράκλειο,Ηράκλειο,11 - 50,Όχι,Master,Integrated Master's Degree,13000,13000,1,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,Frontend,JavaScript
10,1/18/2023 12:23:01,Backend,"C#, JavaScript",5,Όχι,Άντρας,Απομακρυσμένα,Θεσσαλονίκη,Θεσσαλονίκη,11 - 50,Όχι,Master,Εφαρμοσμένη Πληροφορική,19600,19600,5,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,Backend,"C#, JavaScript"
